============================================ prepare_Object
79226537
object read {'loc': [-55.322020363381995, -88.2750916523041], 'ra': 124.677979636618, 'decl': -88.2750916523041}
object read {'loc': [80.10207514047602, -89.1808170595242], 'ra': 260.102075140476, 'decl': -89.1808170595242}
object read {'loc': [-75.792824302543, -88.0516702798565], 'ra': 104.207175697457, 'decl': -88.0516702798565}
object read {'loc': [74.65905804494199, -88.1051002777342], 'ra': 254.659058044942, 'decl': -88.1051002777342}
object read {'loc': [-8.93511822761701, -88.9645152269588], 'ra': 171.064881772383, 'decl': -88.9645152269588}
object read {'loc': [-82.299652190444, -88.1608148751389], 'ra': 97.700347809556, 'decl': -88.1608148751389}
object read {'loc': [-98.4592636028268, -89.2009463795904], 'ra': 81.5407363971732, 'decl': -89.2009463795904}
object read {'loc': [26.385853797619006, -88.6361806714544], 'ra': 206.385853797619, 'decl': -88.6361806714544}
object read {'loc': [-101.093454971983, -88.1630347856414], 'ra': 78.906545028017, 'decl': -88.1630347856414}
object read {'loc': [68.24060901656401, -88.492575188603], 'ra': 248.240609016564, 'decl': -88.492575188603}
object read {'loc': [157.95944184318301, -87.9500230292529], 'ra': 337.959441843183, 'decl': -87.9500230292529}
object read {'loc': [54.751215567082994, -89.0406048475247], 'ra': 234.751215567083, 'decl': -89.0406048475247}
object read {'loc': [15.574662090919986, -88.2230907013909], 'ra': 195.57466209092, 'decl': -88.2230907013909}
object read {'loc': [41.55121242714, -87.9075287452369], 'ra': 221.55121242714, 'decl': -87.9075287452369}
object read {'loc': [128.43357248622402, -88.2704344725375], 'ra': 308.433572486224, 'decl': -88.2704344725375}
object read {'loc': [-131.1207204528827, -88.681753544652], 'ra': 48.8792795471173, 'decl': -88.681753544652}
object read {'loc': [128.34974132249, -88.0133059917553], 'ra': 308.34974132249, 'decl': -88.0133059917553}
object read {'loc': [-24.902303758399995, -88.3411284444499], 'ra': 155.0976962416, 'decl': -88.3411284444499}
object read {'loc': [95.152209465373, -88.0338491725888], 'ra': 275.152209465373, 'decl': -88.0338491725888}
object read {'loc': [6.22810016598001, -88.3004366620089], 'ra': 186.22810016598, 'decl': -88.3004366620089}
object read {'loc': [-126.4076588069601, -88.4695162302005], 'ra': 53.5923411930399, 'decl': -88.4695162302005}
object read {'loc': [-48.42145740637099, -89.1910957553419], 'ra': 131.578542593629, 'decl': -89.1910957553419}
object read {'loc': [-74.947192255832, -89.0511308995409], 'ra': 105.052807744168, 'decl': -89.0511308995409}
object read {'loc': [168.760175341501, -88.6238035022136], 'ra': 348.760175341501, 'decl': -88.6238035022136}
object read {'loc': [170.15781836627798, -89.3034121033851], 'ra': 350.157818366278, 'decl': -89.3034121033851}
object read {'loc': [-81.2272960592825, -87.9571645716564], 'ra': 98.7727039407175, 'decl': -87.9571645716564}
object read {'loc': [15.511043759019998, -89.0065358476781], 'ra': 195.51104375902, 'decl': -89.0065358476781}
object read {'loc': [-30.827794265888002, -88.6821818953137], 'ra': 149.172205734112, 'decl': -88.6821818953137}
object read {'loc': [-90.169913359023, -88.4666787412574], 'ra': 89.830086640977, 'decl': -88.4666787412574}
object read {'loc': [-151.398540268026, -88.6261584499667], 'ra': 28.601459731974, 'decl': -88.6261584499667}
object read {'loc': [-148.9387631255004, -88.567041596181], 'ra': 31.0612368744996, 'decl': -88.567041596181}
object read {'loc': [-108.4440935069338, -89.1475484980101], 'ra': 71.5559064930662, 'decl': -89.1475484980101}
object read {'loc': [99.90348599831299, -89.6164023992665], 'ra': 279.903485998313, 'decl': -89.6164023992665}
object read {'loc': [34.43319740106301, -88.9521495606553], 'ra': 214.433197401063, 'decl': -88.9521495606553}
object read {'loc': [155.058115226489, -88.161799771645], 'ra': 335.058115226489, 'decl': -88.161799771645}
object read {'loc': [-22.235621508782998, -88.1111031393537], 'ra': 157.764378491217, 'decl': -88.1111031393537}
object read {'loc': [147.94506411390603, -88.3716588068004], 'ra': 327.945064113906, 'decl': -88.3716588068004}
object read {'loc': [-102.4809065788562, -88.5054840241588], 'ra': 77.5190934211438, 'decl': -88.5054840241588}
object read {'loc': [-88.3991405714239, -88.4294015287191], 'ra': 91.6008594285761, 'decl': -88.4294015287191}
object read {'loc': [-49.60561738842901, -81.9791350194567], 'ra': 130.394382611571, 'decl': -81.9791350194567}
object read {'loc': [-42.46335017068901, -81.9867326820086], 'ra': 137.536649829311, 'decl': -81.9867326820086}
object read {'loc': [-56.431253520924, -83.5453061131808], 'ra': 123.568746479076, 'decl': -83.5453061131808}
